codigo_dane;establecimiento educativo;comuna;prestacion_servicio;isce_total_2018;isce_prim_2018;isce_secun_2018;isce_media_2018;desempeño_prim_2018;progreso_prim_2018;eficiencia_prim_2018;ambiente_prim_2018;desempeño_secun_2018;progreso_secun_2018;eficiencia_secun_2018;ambiente_secun_2018;desempeño_media_2018;progreso_media_2018;eficienciai_media_2018;iscec_total_2017;iscec_prim_2017;iscec_secun_2017;iscec_media_2017;desempeño_prim_2017;progreso_prim_2017;eficiencia_prim_2017;ambiente_prim_2017;desempeño_secun_2017;progreso_secun_2017;eficiencia_secun_2017;ambiente_secun_2017;desempeño_media_2017;progreso_media_2017;eficiencia_media_2017;iscec_total_2016;iscec_prim_2016;iscec_secun_2016;iscec_media_2016;desempeño_prim_2016;progreso_prim_2016;eficiencia_prim_2016;ambiente_prim_2016;desempeño_secun_2016;progreso_secun_2016;eficienciacia_secun_2016;ambiente_secun_2016;desempeño_media_2016;progreso_media_2016;eficiencia_media_2016;iscec_total_2015;iscec_prim_2015;iscec_secun_2015;iscec_media_2015;desempeño_prim_2015;progreso_prim_2015;eficiencia_prim_2015;ambiente_prim_2015;desempeño_secun_2015;progreso_secun_2015;eficiencia_secun_2015;ambiente_secun_2015;desempeño_media_2015;progreso_media_2015;eficiencia_media_2015
105001000001;inst educ jose maria velaz;2;oficial;5.01307478;4.878912926;5.35714817;4.712810516;2.309999943;0.980493367;0.833000004;0.755419612;2.407999992;1.50999999;0.69599998;0.743148029;2.431477308;0.333333254;1.947999954;4.901907516;4.602673054;5.585324287;4.379205704;2.335999966;0.77090919;0.73817569;0.757588029;2.575999975;1.536082506;0.725714266;0.747527778;2.520051003;0;1.85915494;5.542005324;4.950772285;5.229941845;7.418390751;2.303999901;1.140236616;0.778877914;0.727658212;2.343999863;1.5;0.63874346;0.747198701;2.475880623;3.157894611;1.784615397;4.445709336;3.753044367;4.012374878;6.762540817;2.194000006;0.007761615;0.810344828;0.740937829;2.599999905;0;0.677108434;0.735266745;2.328490257;3.109375;1.324675325
105001000043;inst educ barrio santa cruz;2;oficial;4.119230127;4.045128822;3.718667984;4.986941814;2.145999908;0.309065938;0.845000029;0.745063186;2.251999855;0.01010101;0.728999972;0.727566898;2.306172371;0.830769241;1.850000024;4.232350159;4.002637863;4.761364937;3.823426962;2.191999912;0.193005055;0.870129883;0.747502923;2.21600008;1.267619014;0.525806427;0.751939237;2.292688608;0.213278025;1.317460299;4.0214921;4.208233356;3.75658083;4.064918995;2.154000044;0.504401505;0.807775378;0.742056429;1.931999922;0.428571433;0.659459472;0.736549973;2.108799219;0.503289402;1.452830195;4.188558531;3.824714184;5.059494495;3.483070374;2.150000095;0.174480855;0.784588441;0.715644836;2.072000027;1.5;0.731182796;0.756311953;2.228524923;0;1.254545455
105001000132;inst educ jose maria bernal;16;oficial;6.726418066;5.907454967;7.286839008;7.588348389;2.496000051;1.695106387;0.953999996;0.762348533;2.74000001;3;0.791000009;0.755839527;2.690456867;3.029891253;1.868000031;6.83622818;6.290018559;7.1734128;7.475126743;2.757999897;1.852883816;0.917525768;0.761609256;2.723999977;3.058042526;0.647230327;0.744140148;2.602813005;3.028342247;1.84397161;6.222886109;5.509609222;6.421418667;7.480327129;2.526000023;1.373578906;0.883838356;0.726191878;2.592000008;2.388888836;0.698412716;0.742116868;2.494013786;3.103196621;1.883116841;5.285626376;5.556019306;3.848408937;7.192372799;2.436000109;1.510135174;0.873508353;0.736375749;2.512000084;0.005434783;0.60511883;0.72585535;2.437986851;3;1.754385965
105001000141;inst educ camilo torres restrepo;4;oficial;6.312616277;7.095211029;5.500043392;5.973780632;2.467999935;3;0.867999971;0.759211063;2.424000025;1.519999981;0.800000012;0.756043077;2.377310276;1.676470518;1.919999957;6.586507058;7.778524399;6.448806286;4.145444393;2.815999985;3.318625212;0.874418616;0.769480109;2.43599987;2.474545479;0.765258193;0.773002625;2.366151333;0.179292932;1.600000024;5.031801105;5.355260372;5.231343269;3.954818964;2.398000002;1.335626602;0.892523348;0.729110241;2.236000061;1.33942318;0.906862736;0.749057174;2.245728016;0;1.709090948;4.693726766;4.842885494;3.579115629;6.308689117;2.343999863;0.957249284;0.801393728;0.740243077;2.092000008;0.029999999;0.709497207;0.747618437;2.279902458;2.275362253;1.753424658
105001000167;col la pastora-en administracion (ac);1;contratacion;;6.183887482;;5.691073418;2.50999999;2.041090488;0.88499999;0.747797191;;;0.787;;2.296408176;1.492665291;1.90199995;;6.409735203;3.741432428;;2.767999887;1.947335362;0.936708868;0.757690966;2.200000048;0;0.783898294;0.757534027;;;1.761193991;5.831615233;5.68362999;6.389143467;5.188907623;2.470000029;1.577119946;0.910958886;0.725551248;2.472000122;2.379309654;0.785407722;0.752426147;2.281297207;1.150853753;1.756756783;4.478980494;5.083125591;4.150869846;3.693847656;2.415999889;1.120511055;0.830479452;0.716135085;2.211999893;0.433621943;0.751958225;0.753289819;2.211089134;0;1.482758621
105001000175;inst educ gabriel restrepo moreno;3;oficial;4.423223805;4.219594002;4.093735218;5.457995892;2.320000172;0.25897041;0.885999978;0.754623473;2.24000001;0.315789461;0.79400003;0.743945777;2.331279755;1.38271606;1.743999958;4.956454897;5.932183743;4.208460331;4.070055485;2.369999886;1.936203361;0.864919364;0.761061013;2.25999999;0.490816355;0.696470559;0.761173546;2.225967884;0.006249998;1.837837815;4.144466889;3.587666273;4.3762784;4.991598129;1.851999998;0.005;0.992438555;0.738227606;2.115999937;0.583333313;0.945273638;0.731671572;2.209926844;0.853099644;1.928571463;3.755933702;3.872026443;3.667088747;3.650203705;2.187999964;0.132352948;0.821833162;0.729840219;2.06400013;0.13611111;0.728896104;0.738081515;2.240613699;0.038520802;1.371069182
105001000205;inst educ san agustin;4;oficial;4.487208819;4.32559967;4.768179417;4.359130859;2.184000015;0.490793496;0.899999976;0.750806093;2.476000071;0.605000019;0.926999986;0.760179579;2.460304737;0.068825915;1.830000043;4.504671359;3.920769691;5.390304089;4.268592834;2.194000006;0.047879115;0.920987666;0.757902741;2.572000027;1.134105563;0.926605523;0.757592618;2.444031239;0;1.824561357;4.954798675;4.040766716;4.835130215;7.220790386;2.197999954;0.196536481;0.930434763;0.715795457;2.263999939;0.949186981;0.885448933;0.736494303;2.400790453;3;1.820000052;3.725819516;3.815598011;3.500900269;3.917426586;2.236000061;0;0.843065693;0.736532271;2.211999893;0.014851485;0.567010309;0.707038403;2.406834841;0.104651161;1.405940594
105001000256;inst educ hector abad gomez;10;oficial;4.727893448;4.506658554;5.245443344;4.319959641;2.325999975;0.559040964;0.860000014;0.761617601;2.400000095;1.50505054;0.58099997;0.759392679;2.531674862;0.07628458;1.712000012;5.586988831;4.448064804;6.235601425;7.01449585;2.369999886;0.593717635;0.742514968;0.741832137;2.519999981;2.381554604;0.579013884;0.755033016;2.467511415;3.009569407;1.537414908;4.623513639;4.239967823;3.741901159;7.029313564;2.306000233;0.40583843;0.792892158;0.735237122;2.104000092;0.338636369;0.599264681;0.699999988;2.348250628;3;1.681063175;3.750120389;3.865347862;3.423544168;4.062366962;2.242000103;0.189875245;0.693646649;0.739826024;2.048000097;0.01;0.628643853;0.73690033;2.419156075;0.066418871;1.576791809
105001000353;inst educ juan de la cruz posada;8;oficial;5.227517319;4.878031254;4.660097599;7.006845474;2.386000156;0.805124223;0.927999973;0.758906841;2.455999851;0.686768711;0.758000016;0.759329081;2.37684536;3;1.629999995;4.762924433;4.271105289;4.166144848;6.913881779;2.378000021;0.158743635;0.97425586;0.760105848;2.483999968;0.237318844;0.700854719;0.743971407;2.538881779;3;1.375;5.364358735;4.719775677;5.195290565;7.110539913;2.472000122;0.586410582;0.922638416;0.738726497;2.308000088;1.457719088;0.691029906;0.738541543;2.518191338;3.107500076;1.484848499;4.797781992;4.838274002;3.502829552;6.97284174;2.415999889;0.833229244;0.851118211;0.737926662;2.159999847;0;0.602475928;0.740353823;2.41264677;3.007122517;1.553072626
105001000396;inst educ jose acevedo y gomez;15;oficial;5.45140667;6.300727367;5.006200314;4.319546223;2.357999802;2.25;0.933000028;0.759727657;2.323999882;1.069516182;0.859000027;0.753684103;2.367546082;0;1.952000022;5.339223135;6.897068024;3.906441927;4.341439247;2.711999893;2.490711927;0.95673877;0.737617016;2.272000074;0.015151516;0.854166687;0.765123725;2.306637287;0.080000006;1.954802275;4.616371298;4.480611801;5.007170677;4.237931252;2.446000099;0.344598621;0.93640697;0.753606081;2.236000061;1.162142873;0.873015881;0.736012101;2.244333267;0.110000186;1.883597851;4.468124425;5.109471321;3.668472528;4.42448473;2.417999983;1.070231318;0.882587065;0.738653243;2.052000046;0.046585366;0.84375;0.726137221;2.337091923;0.485969275;1.601423488
